date,day_type,mae_p50,rmse_p50,mape_p50,status
2025-10-01,PV_STABLE,136.8686933367308,228.36707434917483,2.3443093214665907,OK
2025-10-02,PV_STABLE,135.02965870646767,166.46766849648557,0.4147110050720251,OK
2025-10-03,PV_VOLATILE,99.77759368799603,136.0382439896738,0.2739513038867831,OK
2025-10-04,PV_VOLATILE,132.74225321463896,199.15315003548474,0.30305854830536155,OK
2025-10-05,PV_VOLATILE,138.24427249753452,187.1335538905565,0.3265628208263757,OK
2025-10-06,PV_STABLE,95.77170630530975,108.21084771098909,0.36896549768847936,OK
2025-10-07,PV_STABLE,79.02313039215687,98.59838478057847,0.2730509075878022,OK
2025-10-08,PV_STABLE,178.64688587487782,298.5984087828137,0.35610357659666486,OK
2025-10-09,PV_VOLATILE,99.68874640594542,129.2390361283879,0.29040663380353987,OK
2025-10-10,PV_VOLATILE,114.93062597181729,158.74184405435795,0.29150499979192723,OK
2025-10-11,PV_VOLATILE,128.8018780886628,175.12691446847094,0.3024640191952675,OK
2025-10-12,PV_VOLATILE,152.24087859299516,228.43460002405416,0.3149420402047955,OK
2025-10-13,PV_VOLATILE,102.25699518304434,143.34059892381308,0.2622265555487226,OK
2025-10-14,PV_VOLATILE,73.33315976224783,98.27018006928152,1.5633681043975711,OK
2025-10-15,PV_VOLATILE,201.89801179358236,297.9271138086528,0.35362528420465583,OK
2025-10-16,PV_VOLATILE,51.99388135744985,71.01833365956213,0.20105420084546688,OK
2025-10-17,PV_VOLATILE,143.86728303571428,166.61498454316327,0.38605265101107705,OK
2025-10-18,PV_STABLE,135.9127293750379,151.5349264747371,0.9256852784882128,OK
2025-10-19,PV_STABLE,63.362323094223484,74.65713053602856,0.21936842574273155,OK
2025-10-20,PV_STABLE,93.03214152502359,122.52057026112533,0.26462486420058345,OK
2025-10-21,PV_VOLATILE,103.6270100047081,118.14999097226755,0.6797553183804667,OK
2025-10-22,PV_VOLATILE,88.04759838615023,113.11484127092986,0.680549755449058,OK
2025-10-23,PV_VOLATILE,88.0786802434457,105.3671225730294,0.2525795736921554,OK
2025-10-24,PV_VOLATILE,89.2399836601307,113.54364677141443,0.45422052049688166,OK
2025-10-25,PV_VOLATILE,105.86649249301676,134.3269988845105,0.2765446992919252,OK
2025-10-26,PV_VOLATILE,85.79926732242338,113.85839807812022,0.24156879761086716,OK
2025-10-27,PV_VOLATILE,77.82394762731484,96.9090889921945,0.5600131725382328,OK
2025-10-28,PV_VOLATILE,100.32173713065559,121.85575333370342,0.2787607216477281,OK
2025-10-29,PV_VOLATILE,126.64362580570905,143.88323667650442,0.8514113089186076,OK
2025-10-30,PV_VOLATILE,132.84285640495867,200.42987890555025,0.28549341797564026,OK
2025-10-31,PV_VOLATILE,102.66252815934065,135.4352635624876,0.27205344124302056,OK
