interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,net_bin,net_load_fc,rt_true,da_true
1,0,348.3559325513196,355.1159325513196,402.8486325513196,234.87593255131964,6.759999999999991,VOLATILE,PV_STABLE,HIGH,28632.380000000005,366.0,351.919
2,0,348.3559325513196,355.1159325513196,402.8486325513196,234.87593255131964,6.759999999999991,VOLATILE,PV_STABLE,HIGH,27924.86,365.0,351.919
3,0,348.3559325513196,355.1159325513196,402.8486325513196,234.87593255131964,6.759999999999991,VOLATILE,PV_STABLE,HIGH,27546.510000000002,368.91,351.919
4,0,348.3559325513196,355.1159325513196,402.8486325513196,234.87593255131964,6.759999999999991,VOLATILE,PV_STABLE,HIGH,27244.32,374.0,351.919
5,1,334.48509970674485,344.1450997067449,387.66509970674485,300.8230997067448,9.660000000000025,STABLE,PV_STABLE,HIGH,26643.0,371.1,348.882
6,1,334.48509970674485,344.1450997067449,387.66509970674485,300.8230997067448,9.660000000000025,STABLE,PV_STABLE,HIGH,26502.869999999995,371.5,348.882
7,1,334.48509970674485,344.1450997067449,387.66509970674485,300.8230997067448,9.660000000000025,STABLE,PV_STABLE,HIGH,25965.92,368.0,348.882
8,1,334.48509970674485,344.1450997067449,387.66509970674485,300.8230997067448,9.660000000000025,STABLE,PV_STABLE,HIGH,25535.049999999996,371.0,348.882
9,2,321.1542170087977,331.9742170087976,370.0139170087977,295.02221700879767,10.819999999999965,STABLE,PV_STABLE,HIGH,25213.0,368.0,345.503
10,2,321.1542170087977,331.9742170087976,370.0139170087977,295.02221700879767,10.819999999999965,STABLE,PV_STABLE,HIGH,24884.410000000003,366.0,345.503
11,2,321.1542170087977,331.9742170087976,370.0139170087977,295.02221700879767,10.819999999999965,STABLE,PV_STABLE,HIGH,24550.899999999994,359.0,345.503
12,2,321.1542170087977,331.9742170087976,370.0139170087977,295.02221700879767,10.819999999999965,STABLE,PV_STABLE,HIGH,24470.82,358.33,345.503
13,3,309.9565395894428,318.1915395894428,345.8635395894428,293.73653958944277,8.235000000000014,STABLE,PV_STABLE,HIGH,24199.480000000003,357.0,343.095
14,3,309.9565395894428,318.1915395894428,345.8635395894428,293.73653958944277,8.235000000000014,STABLE,PV_STABLE,HIGH,23965.4,356.5,343.095
15,3,309.9565395894428,318.1915395894428,345.8635395894428,293.73653958944277,8.235000000000014,STABLE,PV_STABLE,HIGH,23652.460000000006,357.0,343.095
16,3,309.9565395894428,318.1915395894428,345.8635395894428,293.73653958944277,8.235000000000014,STABLE,PV_STABLE,HIGH,23682.79,356.0,343.095
17,4,310.87699120234606,318.2069912023461,344.424291202346,257.77699120234604,7.3300000000000125,STABLE,PV_STABLE,HIGH,23515.15,356.0,343.0
18,4,310.87699120234606,318.2069912023461,344.424291202346,257.77699120234604,7.3300000000000125,STABLE,PV_STABLE,HIGH,23387.189999999995,354.0,343.0
19,4,310.87699120234606,318.2069912023461,344.424291202346,257.77699120234604,7.3300000000000125,STABLE,PV_STABLE,HIGH,23613.479999999996,356.0,343.0
20,4,310.87699120234606,318.2069912023461,344.424291202346,257.77699120234604,7.3300000000000125,STABLE,PV_STABLE,HIGH,23825.29,356.75,343.0
21,5,322.9708680351906,322.2858680351906,357.4458680351906,222.0481680351906,-0.6850000000000023,VOLATILE,PV_STABLE,HIGH,23996.759999999995,354.75,343.834
22,5,322.9708680351906,322.2858680351906,357.4458680351906,222.0481680351906,-0.6850000000000023,VOLATILE,PV_STABLE,HIGH,24291.39,358.0,343.834
