interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,net_bin,net_load_fc,rt_true,da_true
1,0,349.1317720797721,385.09177207977206,477.79177207977204,229.96177207977206,35.95999999999998,VOLATILE,PV_STABLE,LOW,12776.699999999997,254.4,319.52
2,0,349.1317720797721,385.09177207977206,477.79177207977204,229.96177207977206,35.95999999999998,VOLATILE,PV_STABLE,LOW,12194.559999999998,240.0,319.52
3,0,349.1317720797721,385.09177207977206,477.79177207977204,229.96177207977206,35.95999999999998,VOLATILE,PV_STABLE,LOW,11759.190000000002,249.519,319.52
4,0,349.1317720797721,385.09177207977206,477.79177207977204,229.96177207977206,35.95999999999998,VOLATILE,PV_STABLE,LOW,11400.779999999999,276.208,319.52
5,1,335.6865384615385,334.98653846153843,426.5315384615385,121.59153846153845,-0.700000000000017,VOLATILE,PV_STABLE,LOW,11065.199999999997,275.903,332.55
6,1,335.6865384615385,334.98653846153843,426.5315384615385,121.59153846153845,-0.700000000000017,VOLATILE,PV_STABLE,LOW,10743.800000000003,275.341,332.55
7,1,335.6865384615385,334.98653846153843,426.5315384615385,121.59153846153845,-0.700000000000017,VOLATILE,PV_STABLE,LOW,10309.89,296.0,332.55
8,1,335.6865384615385,334.98653846153843,426.5315384615385,121.59153846153845,-0.700000000000017,VOLATILE,PV_STABLE,LOW,10033.64,302.212,332.55
9,2,322.6722678062678,333.64226780626785,452.66726780626783,119.66226780626783,10.970000000000027,VOLATILE,PV_STABLE,LOW,9798.82,307.058,290.23
10,2,322.6722678062678,333.64226780626785,452.66726780626783,119.66226780626783,10.970000000000027,VOLATILE,PV_STABLE,LOW,9430.839999999997,295.356,290.23
11,2,322.6722678062678,333.64226780626785,452.66726780626783,119.66226780626783,10.970000000000027,VOLATILE,PV_STABLE,LOW,9259.910000000003,283.215,290.23
12,2,322.6722678062678,333.64226780626785,452.66726780626783,119.66226780626783,10.970000000000027,VOLATILE,PV_STABLE,LOW,9041.119999999995,263.046,290.23
13,3,311.7662222222222,311.7662222222222,436.0662222222222,185.54622222222218,0.0,VOLATILE,PV_STABLE,LOW,8945.070000000007,234.729,237.05
14,3,311.7662222222222,311.7662222222222,436.0662222222222,185.54622222222218,0.0,VOLATILE,PV_STABLE,LOW,8796.720000000001,212.913,237.05
15,3,311.7662222222222,311.7662222222222,436.0662222222222,185.54622222222218,0.0,VOLATILE,PV_STABLE,LOW,8872.21,210.578,237.05
16,3,311.7662222222222,311.7662222222222,436.0662222222222,185.54622222222218,0.0,VOLATILE,PV_STABLE,LOW,8952.229999999996,210.668,237.05
17,4,312.64823361823363,312.64823361823363,435.43823361823365,240.42823361823363,0.0,STABLE,PV_STABLE,LOW,9158.470000000001,218.958,268.95
18,4,312.64823361823363,312.64823361823363,435.43823361823365,240.42823361823363,0.0,STABLE,PV_STABLE,LOW,9538.39,227.549,268.95
19,4,312.64823361823363,312.64823361823363,435.43823361823365,240.42823361823363,0.0,STABLE,PV_STABLE,LOW,9850.870000000003,248.893,268.95
20,4,312.64823361823363,312.64823361823363,435.43823361823365,240.42823361823363,0.0,STABLE,PV_STABLE,LOW,10411.569999999992,290.895,268.95
21,5,324.40708547008546,358.4470854700855,486.21208547008547,253.14708547008547,34.04000000000002,VOLATILE,PV_STABLE,LOW,10845.299999999996,302.814,272.68
22,5,324.40708547008546,358.4470854700855,486.21208547008547,253.14708547008547,34.04000000000002,VOLATILE,PV_STABLE,LOW,11213.650000000001,300.602,272.68
23,5,324.40708547008546,358.4470854700855,486.21208547008547,253.14708547008547,34.04000000000002,VOLATILE,PV_STABLE,LOW,11483.079999999994,300.082,272.68
24,5,324.40708547008546,358.4470854700855,486.21208547008547,253.14708547008547,34.04000000000002,VOLATILE,PV_STABLE,LOW,12171.090000000004,296.795,272.68
25,6,314.4281566951567,263.9231566951567,521.0931566951567,-77.29184330484333,-50.505,VOLATILE,PV_STABLE,LOW,13182.309999999998,318.481,328.39
26,6,314.4281566951567,263.9231566951567,521.0931566951567,-77.29184330484333,-50.505,VOLATILE,PV_STABLE,LOW,13610.939999999995,336.154,328.39
27,6,314.4281566951567,263.9231566951567,521.0931566951567,-77.29184330484333,-50.505,VOLATILE,PV_STABLE,LOW,13999.64,331.946,328.39
28,6,314.4281566951567,263.9231566951567,521.0931566951567,-77.29184330484333,-50.505,VOLATILE,PV_STABLE,LOW,13528.930000000008,335.872,328.39
29,7,268.9840968660969,204.5340968660969,462.07909686609685,5.6810968660969365,-64.45,VOLATILE,PV_STABLE,MID,12718.470000000001,323.619,283.67
30,7,268.9840968660969,204.5340968660969,462.07909686609685,5.6810968660969365,-64.45,VOLATILE,PV_STABLE,MID,11631.04,317.864,283.67
31,7,268.9840968660969,204.5340968660969,462.07909686609685,5.6810968660969365,-64.45,VOLATILE,PV_STABLE,MID,10388.200000000004,312.565,283.67
32,7,268.9840968660969,204.5340968660969,462.07909686609685,5.6810968660969365,-64.45,VOLATILE,PV_STABLE,MID,8973.720000000001,268.819,283.67
33,8,183.3516752136752,183.3516752136752,388.81667521367524,41.52667521367522,0.0,VOLATILE,PV_STABLE,HIGH,7973.870000000003,278.565,64.68
34,8,183.3516752136752,183.3516752136752,447.25467521367517,162.3986752136752,0.0,VOLATILE,PV_STABLE,MID,6053.729999999996,254.458,64.68
35,8,183.3516752136752,183.3516752136752,447.25467521367517,162.3986752136752,0.0,VOLATILE,PV_STABLE,MID,4053.580000000009,11.221,64.68
36,8,183.3516752136752,183.3516752136752,447.25467521367517,162.3986752136752,0.0,VOLATILE,PV_STABLE,MID,2111.8800000000047,22.804,64.68
37,9,114.25262393162394,114.25262393162394,124.11262393162394,90.30762393162394,0.0,VOLATILE,PV_STABLE,HIGH,-214.9900000000016,-79.991,-45.69
38,9,114.25262393162394,114.25262393162394,124.11262393162394,90.30762393162394,0.0,VOLATILE,PV_STABLE,HIGH,-1666.0,-79.991,-45.69
39,9,114.25262393162394,,,,,STABLE,PV_STABLE,MID,-2485.920000000002,-80.0,-45.69
40,9,114.25262393162394,,,,,STABLE,PV_STABLE,MID,-3500.730000000003,-80.0,-45.69
41,10,106.77447863247862,105.29447863247862,113.04297863247862,79.25447863247862,-1.4799999999999969,STABLE,PV_STABLE,HIGH,-2609.3800000000047,-79.991,-36.43
42,10,106.77447863247862,105.29447863247862,113.04297863247862,79.25447863247862,-1.4799999999999969,STABLE,PV_STABLE,HIGH,-3363.149999999994,-74.397,-36.43
43,10,106.77447863247862,105.29447863247862,113.04297863247862,79.25447863247862,-1.4799999999999969,STABLE,PV_STABLE,HIGH,-3998.349999999995,-79.993,-36.43
44,10,106.77447863247862,105.29447863247862,113.04297863247862,79.25447863247862,-1.4799999999999969,STABLE,PV_STABLE,HIGH,-3883.3199999999997,-79.908,-36.43
45,11,103.76918803418803,99.83918803418803,104.21418803418803,71.23918803418803,-3.930000000000007,STABLE,PV_STABLE,HIGH,-3643.1700000000055,-79.933,-32.86
46,11,103.76918803418803,99.83918803418803,104.21418803418803,71.23918803418803,-3.930000000000007,STABLE,PV_STABLE,HIGH,-4838.4599999999955,-79.991,-32.86
47,11,103.76918803418803,99.83918803418803,104.21418803418803,71.23918803418803,-3.930000000000007,STABLE,PV_STABLE,HIGH,-5540.879999999994,-80.0,-32.86
48,11,103.76918803418803,99.83918803418803,104.21418803418803,71.23918803418803,-3.930000000000007,STABLE,PV_STABLE,HIGH,-6906.330000000002,-80.0,-32.86
49,12,84.8456923076923,84.8456923076923,91.6706923076923,61.85569230769231,0.0,STABLE,PV_STABLE,HIGH,-7315.879999999997,-80.0,-37.3
50,12,84.8456923076923,84.8456923076923,91.6706923076923,61.85569230769231,0.0,STABLE,PV_STABLE,HIGH,-6914.9100000000035,-80.0,-37.3
51,12,84.8456923076923,84.8456923076923,91.6706923076923,61.85569230769231,0.0,STABLE,PV_STABLE,HIGH,-5832.360000000001,-80.0,-37.3
52,12,84.8456923076923,84.8456923076923,91.6706923076923,61.85569230769231,0.0,STABLE,PV_STABLE,HIGH,-4737.080000000002,-80.0,-37.3
53,13,106.24074074074075,106.24074074074075,121.74074074074075,82.45574074074075,0.0,STABLE,PV_STABLE,HIGH,-2531.1200000000026,-80.0,-33.74
54,13,106.24074074074075,106.24074074074075,121.74074074074075,82.45574074074075,0.0,STABLE,PV_STABLE,HIGH,-1184.9599999999919,-80.0,-33.74
55,13,106.24074074074075,106.24074074074075,121.74074074074075,82.45574074074075,0.0,STABLE,PV_STABLE,HIGH,619.2299999999959,-79.99,-33.74
56,13,106.24074074074075,106.24074074074075,121.74074074074075,82.45574074074075,0.0,STABLE,PV_STABLE,HIGH,1883.3600000000006,-79.99,-33.74
57,14,150.05306267806267,150.05306267806267,328.01806267806273,129.31306267806266,0.0,VOLATILE,PV_STABLE,HIGH,3669.4300000000003,-79.991,99.52
58,14,150.05306267806267,150.05306267806267,328.01806267806273,129.31306267806266,0.0,VOLATILE,PV_STABLE,HIGH,5518.010000000002,109.428,99.52
59,14,150.05306267806267,150.05306267806267,328.01806267806273,129.31306267806266,0.0,VOLATILE,PV_STABLE,HIGH,7398.200000000012,164.8,99.52
60,14,150.05306267806267,150.05306267806267,328.01806267806273,129.31306267806266,0.0,VOLATILE,PV_STABLE,HIGH,8790.080000000002,285.839,99.52
61,15,233.48503703703705,262.632537037037,474.60003703703705,163.09503703703706,29.1475,VOLATILE,PV_STABLE,HIGH,10253.68,292.225,356.63
62,15,233.48503703703705,262.632537037037,474.60003703703705,163.09503703703706,29.1475,VOLATILE,PV_STABLE,HIGH,12289.669999999998,318.178,356.63
63,15,233.48503703703705,262.632537037037,474.60003703703705,163.09503703703706,29.1475,VOLATILE,PV_STABLE,HIGH,14131.450000000004,350.779,356.63
64,15,233.48503703703705,262.632537037037,474.60003703703705,163.09503703703706,29.1475,VOLATILE,PV_STABLE,HIGH,16175.749999999993,367.12,356.63
65,16,358.9771424501424,396.1471424501424,487.18714245014246,320.7571424501424,37.16999999999999,VOLATILE,PV_STABLE,HIGH,18186.58,407.36,489.47
66,16,358.9771424501424,396.1471424501424,487.18714245014246,320.7571424501424,37.16999999999999,VOLATILE,PV_STABLE,HIGH,20537.989999999998,546.0,489.47
67,16,358.9771424501424,396.1471424501424,487.18714245014246,320.7571424501424,37.16999999999999,VOLATILE,PV_STABLE,HIGH,22656.359999999993,580.872,489.47
68,16,358.9771424501424,396.1471424501424,487.18714245014246,320.7571424501424,37.16999999999999,VOLATILE,PV_STABLE,HIGH,24438.550000000003,593.618,489.47
69,17,442.7018347578348,446.58183475783477,498.3218347578347,386.18183475783474,3.8799999999999955,STABLE,PV_STABLE,HIGH,26159.740000000013,615.071,540.63
70,17,442.7018347578348,446.58183475783477,498.3218347578347,386.18183475783474,3.8799999999999955,STABLE,PV_STABLE,HIGH,27368.61,599.049,540.63
71,17,442.7018347578348,446.58183475783477,498.3218347578347,386.18183475783474,3.8799999999999955,STABLE,PV_STABLE,HIGH,28199.11,601.732,540.63
72,17,442.7018347578348,446.58183475783477,498.3218347578347,386.18183475783474,3.8799999999999955,STABLE,PV_STABLE,HIGH,28467.69999999999,607.376,540.63
73,18,454.77364102564104,458.53364102564103,535.823641025641,387.15364102564104,3.759999999999991,STABLE,PV_STABLE,MID,28232.97,591.96,529.73
74,18,454.77364102564104,458.53364102564103,535.823641025641,387.15364102564104,3.759999999999991,STABLE,PV_STABLE,MID,27637.350000000006,598.396,529.73
75,18,454.77364102564104,458.53364102564103,535.823641025641,387.15364102564104,3.759999999999991,STABLE,PV_STABLE,MID,26821.880000000005,596.225,529.73
76,18,454.77364102564104,458.53364102564103,535.823641025641,387.15364102564104,3.759999999999991,STABLE,PV_STABLE,MID,26002.270000000004,589.067,529.73
77,19,443.8067122507122,452.29671225071223,524.7807122507122,391.74971225071226,8.490000000000009,STABLE,PV_STABLE,MID,25732.319999999992,584.518,528.97
78,19,443.8067122507122,452.29671225071223,524.7807122507122,391.74971225071226,8.490000000000009,STABLE,PV_STABLE,MID,25654.240000000005,586.7,528.97
79,19,443.8067122507122,452.29671225071223,524.7807122507122,391.74971225071226,8.490000000000009,STABLE,PV_STABLE,MID,25523.280000000006,589.936,528.97
80,19,443.8067122507122,452.29671225071223,524.7807122507122,391.74971225071226,8.490000000000009,STABLE,PV_STABLE,MID,25174.86,588.181,528.97
81,20,436.15482621082623,454.3848262108262,579.6548262108263,361.68282621082625,18.22999999999999,VOLATILE,PV_STABLE,MID,25114.39,610.649,526.89
82,20,436.15482621082623,454.3848262108262,579.6548262108263,361.68282621082625,18.22999999999999,VOLATILE,PV_STABLE,MID,25527.67,620.176,526.89
83,20,436.15482621082623,454.3848262108262,579.6548262108263,361.68282621082625,18.22999999999999,VOLATILE,PV_STABLE,MID,25883.670000000006,636.751,526.89
84,20,436.15482621082623,454.3848262108262,579.6548262108263,361.68282621082625,18.22999999999999,VOLATILE,PV_STABLE,MID,26068.750000000007,638.8,526.89
85,21,421.9617806267806,430.18178062678055,481.8367806267806,383.3317806267805,8.219999999999999,STABLE,PV_STABLE,HIGH,27107.869999999995,642.87,525.17
