interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,net_bin,net_load_fc,rt_true,da_true
1,0,348.4780606936416,351.27806069364163,375.40006069364165,302.83306069364164,2.8000000000000114,STABLE,PV_VOLATILE,LOW,26286.130000000005,356.0,350.68
2,0,348.4780606936416,351.27806069364163,375.40006069364165,302.83306069364164,2.8000000000000114,STABLE,PV_VOLATILE,LOW,25949.9,356.0,350.68
3,0,348.4780606936416,351.27806069364163,375.40006069364165,302.83306069364164,2.8000000000000114,STABLE,PV_VOLATILE,LOW,25894.619999999995,360.0,350.68
4,0,348.4780606936416,351.27806069364163,375.40006069364165,302.83306069364164,2.8000000000000114,STABLE,PV_VOLATILE,LOW,25626.969999999994,356.0,350.68
5,1,334.83834971098264,337.9833497109827,367.60634971098267,316.93334971098267,3.1450000000000102,STABLE,PV_VOLATILE,MID,25496.380000000005,356.0,350.574
6,1,334.83834971098264,337.9833497109827,367.60634971098267,316.93334971098267,3.1450000000000102,STABLE,PV_VOLATILE,MID,25276.409999999996,356.0,350.574
7,1,334.83834971098264,304.28334971098263,341.21834971098264,102.63834971098265,-30.55499999999998,VOLATILE,PV_VOLATILE,LOW,25131.190000000002,353.0,350.574
8,1,334.83834971098264,304.28334971098263,341.21834971098264,102.63834971098265,-30.55499999999998,VOLATILE,PV_VOLATILE,LOW,24909.010000000002,350.0,350.574
9,2,321.685725433526,318.40072543352596,361.22872543352605,309.6957254335259,-3.2849999999999966,STABLE,PV_VOLATILE,MID,24698.17,348.0,349.851
10,2,321.685725433526,318.40072543352596,361.22872543352605,309.6957254335259,-3.2849999999999966,STABLE,PV_VOLATILE,MID,24486.409999999996,352.0,349.851
11,2,321.685725433526,318.40072543352596,361.22872543352605,309.6957254335259,-3.2849999999999966,STABLE,PV_VOLATILE,MID,24420.119999999995,351.0,349.851
12,2,321.685725433526,318.40072543352596,361.22872543352605,309.6957254335259,-3.2849999999999966,STABLE,PV_VOLATILE,MID,24354.71,350.0,349.851
13,3,310.6429046242775,311.66290462427753,350.8099046242776,292.79590462427745,1.0200000000000387,STABLE,PV_VOLATILE,MID,24379.46,352.17,349.248
14,3,310.6429046242775,311.66290462427753,350.8099046242776,292.79590462427745,1.0200000000000387,STABLE,PV_VOLATILE,MID,24343.64,352.0,349.248
15,3,310.6429046242775,311.66290462427753,350.8099046242776,292.79590462427745,1.0200000000000387,STABLE,PV_VOLATILE,MID,24455.72,352.0,349.248
16,3,310.6429046242775,311.66290462427753,350.8099046242776,292.79590462427745,1.0200000000000387,STABLE,PV_VOLATILE,MID,24565.83,354.0,349.248
17,4,311.5497803468208,321.0347803468208,341.3107803468208,295.2747803468208,9.485000000000014,STABLE,PV_VOLATILE,MID,24888.32,356.0,348.0
18,4,311.5497803468208,321.0347803468208,341.3107803468208,295.2747803468208,9.485000000000014,STABLE,PV_VOLATILE,MID,25274.300000000003,354.0,348.0
19,4,311.5497803468208,321.0347803468208,341.3107803468208,295.2747803468208,9.485000000000014,STABLE,PV_VOLATILE,MID,25878.380000000005,352.0,348.0
20,4,311.5497803468208,321.0347803468208,341.3107803468208,295.2747803468208,9.485000000000014,STABLE,PV_VOLATILE,MID,26483.450000000004,349.17,348.0
21,5,323.4726560693642,322.5076560693642,358.5826560693642,308.6626560693642,-0.9650000000000034,STABLE,PV_VOLATILE,MID,27244.71,348.0,358.07
22,5,323.4726560693642,322.5076560693642,358.5826560693642,308.6626560693642,-0.9650000000000034,STABLE,PV_VOLATILE,MID,28104.42,355.25,358.07
23,5,323.4726560693642,322.5076560693642,358.5826560693642,308.6626560693642,-0.9650000000000034,STABLE,PV_VOLATILE,MID,28609.83,360.0,358.07
24,5,323.4726560693642,325.7076560693642,339.6906560693642,282.2826560693642,2.2350000000000136,STABLE,PV_VOLATILE,HIGH,29591.559999999998,366.0,358.07
