interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,net_bin,net_load_fc,rt_true,da_true
1,0,348.24918154761906,352.0991815476191,377.04018154761906,234.7691815476191,3.8499999999999943,STABLE,PV_VOLATILE,LOW,25369.68,356.29,362.823
2,0,348.24918154761906,352.0991815476191,377.04018154761906,234.7691815476191,3.8499999999999943,STABLE,PV_VOLATILE,LOW,24954.200000000004,352.67,362.823
3,0,348.24918154761906,352.0991815476191,377.04018154761906,234.7691815476191,3.8499999999999943,STABLE,PV_VOLATILE,LOW,24689.75,351.0,362.823
4,0,348.24918154761906,352.0991815476191,377.04018154761906,234.7691815476191,3.8499999999999943,STABLE,PV_VOLATILE,LOW,24331.480000000003,354.0,362.823
5,1,334.2545833333333,335.71458333333334,352.42158333333333,321.06558333333334,1.4600000000000364,STABLE,PV_VOLATILE,LOW,24149.79,356.67,366.285
6,1,334.2545833333333,335.71458333333334,352.42158333333333,321.06558333333334,1.4600000000000364,STABLE,PV_VOLATILE,LOW,24059.120000000003,360.0,366.285
7,1,334.2545833333333,335.71458333333334,352.42158333333333,321.06558333333334,1.4600000000000364,STABLE,PV_VOLATILE,LOW,23819.940000000002,361.67,366.285
8,1,334.2545833333333,335.71458333333334,352.42158333333333,321.06558333333334,1.4600000000000364,STABLE,PV_VOLATILE,LOW,23657.71,362.0,366.285
9,2,320.84865178571425,322.7586517857143,364.6506517857142,296.84865178571425,1.910000000000025,STABLE,PV_VOLATILE,LOW,23398.990000000005,366.0,363.716
10,2,320.84865178571425,322.7586517857143,364.6506517857142,296.84865178571425,1.910000000000025,STABLE,PV_VOLATILE,LOW,23221.78,368.0,363.716
11,2,320.84865178571425,322.7586517857143,364.6506517857142,296.84865178571425,1.910000000000025,STABLE,PV_VOLATILE,LOW,23116.33,368.0,363.716
12,2,320.84865178571425,322.7586517857143,364.6506517857142,296.84865178571425,1.910000000000025,STABLE,PV_VOLATILE,LOW,22937.21,368.0,363.716
13,3,309.52023511904764,316.52023511904764,362.02523511904764,276.39023511904765,7.0,STABLE,PV_VOLATILE,LOW,22833.53,368.0,359.674
14,3,309.52023511904764,316.52023511904764,362.02523511904764,276.39023511904765,7.0,STABLE,PV_VOLATILE,LOW,22864.46,362.0,359.674
15,3,309.52023511904764,316.52023511904764,362.02523511904764,276.39023511904765,7.0,STABLE,PV_VOLATILE,LOW,22893.510000000002,368.33,359.674
16,3,309.52023511904764,316.52023511904764,362.02523511904764,276.39023511904765,7.0,STABLE,PV_VOLATILE,LOW,22849.18,368.0,359.674
17,4,310.4194672619048,308.2294672619048,363.8124672619048,268.9594672619048,-2.1899999999999977,STABLE,PV_VOLATILE,LOW,23236.949999999997,362.0,356.399
18,4,310.4194672619048,308.2294672619048,363.8124672619048,268.9594672619048,-2.1899999999999977,STABLE,PV_VOLATILE,LOW,23478.369999999995,363.27,356.399
19,4,310.4194672619048,308.2294672619048,363.8124672619048,268.9594672619048,-2.1899999999999977,STABLE,PV_VOLATILE,LOW,23719.840000000004,368.0,356.399
20,4,310.4194672619048,317.2144672619048,341.6494672619048,289.8504672619048,6.795000000000016,STABLE,PV_VOLATILE,MID,24470.42,368.0,356.399
21,5,322.5553541666667,321.7703541666667,359.9463541666667,249.19535416666668,-0.7849999999999966,STABLE,PV_VOLATILE,MID,25299.42,368.0,360.782
22,5,322.5553541666667,321.7703541666667,359.9463541666667,249.19535416666668,-0.7849999999999966,STABLE,PV_VOLATILE,MID,26105.759999999995,370.0,360.782
23,5,322.5553541666667,321.7703541666667,359.9463541666667,249.19535416666668,-0.7849999999999966,STABLE,PV_VOLATILE,MID,26752.739999999998,371.67,360.782
24,5,322.5553541666667,321.7703541666667,359.9463541666667,249.19535416666668,-0.7849999999999966,STABLE,PV_VOLATILE,MID,27954.369999999995,370.0,360.782
25,6,309.5845148809524,315.0445148809524,345.37251488095234,292.1635148809524,5.460000000000008,STABLE,PV_VOLATILE,HIGH,29167.109999999993,372.0,366.39
26,6,309.5845148809524,315.0445148809524,345.37251488095234,292.1635148809524,5.460000000000008,STABLE,PV_VOLATILE,HIGH,29788.940000000002,370.0,366.39
27,6,309.5845148809524,315.0445148809524,345.37251488095234,292.1635148809524,5.460000000000008,STABLE,PV_VOLATILE,HIGH,30103.610000000008,370.0,366.39
28,6,309.5845148809524,315.0445148809524,345.37251488095234,292.1635148809524,5.460000000000008,STABLE,PV_VOLATILE,HIGH,30338.15,372.0,366.39
29,7,258.84002678571426,266.23502678571424,362.0310267857143,184.2280267857143,7.39500000000001,VOLATILE,PV_VOLATILE,HIGH,30704.649999999994,370.0,363.763
30,7,258.84002678571426,266.23502678571424,362.0310267857143,184.2280267857143,7.39500000000001,VOLATILE,PV_VOLATILE,HIGH,30055.08,368.0,363.763
31,7,258.84002678571426,266.23502678571424,362.0310267857143,184.2280267857143,7.39500000000001,VOLATILE,PV_VOLATILE,HIGH,29323.339999999997,363.33,363.763
32,7,258.84002678571426,266.23502678571424,362.0310267857143,184.2280267857143,7.39500000000001,VOLATILE,PV_VOLATILE,HIGH,28816.700000000004,362.0,363.763
33,8,170.054375,231.829375,333.01937499999997,-22.712625000000003,61.775,VOLATILE,PV_VOLATILE,HIGH,29119.969999999994,358.46,358.912
34,8,170.054375,231.829375,333.01937499999997,-22.712625000000003,61.775,VOLATILE,PV_VOLATILE,HIGH,28405.28,358.12,358.912
35,8,170.054375,231.829375,333.01937499999997,-22.712625000000003,61.775,VOLATILE,PV_VOLATILE,HIGH,27610.659999999996,352.0,358.912
36,8,170.054375,231.829375,333.01937499999997,-22.712625000000003,61.775,VOLATILE,PV_VOLATILE,HIGH,26831.300000000003,343.6,358.912
