interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,net_bin,net_load_fc,rt_true,da_true
1,0,348.4734666666667,356.8484666666667,420.2874666666668,339.5594666666667,8.374999999999972,STABLE,PV_VOLATILE,MID,29514.15,355.0,350.063
2,0,348.4734666666667,356.8484666666667,420.2874666666668,339.5594666666667,8.374999999999972,STABLE,PV_VOLATILE,MID,29078.620000000003,352.0,350.063
3,0,348.4734666666667,356.8484666666667,420.2874666666668,339.5594666666667,8.374999999999972,STABLE,PV_VOLATILE,MID,28707.36,352.0,350.063
4,0,348.4734666666667,356.8484666666667,420.2874666666668,339.5594666666667,8.374999999999972,STABLE,PV_VOLATILE,MID,28353.589999999997,354.0,350.063
5,1,334.8013652173913,337.9463652173913,367.56936521739135,316.89636521739135,3.1450000000000102,STABLE,PV_VOLATILE,MID,28057.590000000004,354.0,347.598
6,1,334.8013652173913,337.9463652173913,367.56936521739135,316.89636521739135,3.1450000000000102,STABLE,PV_VOLATILE,MID,27562.989999999998,353.71,347.598
7,1,334.8013652173913,337.9463652173913,367.56936521739135,316.89636521739135,3.1450000000000102,STABLE,PV_VOLATILE,MID,27241.15,360.0,347.598
8,1,334.8013652173913,337.9463652173913,367.56936521739135,316.89636521739135,3.1450000000000102,STABLE,PV_VOLATILE,MID,26815.54,361.67,347.598
9,2,321.6152492753623,318.33024927536235,361.15824927536244,309.62524927536225,-3.2849999999999966,STABLE,PV_VOLATILE,MID,26252.399999999994,360.0,346.0
10,2,321.6152492753623,318.33024927536235,361.15824927536244,309.62524927536225,-3.2849999999999966,STABLE,PV_VOLATILE,MID,26041.6,358.33,346.0
11,2,321.6152492753623,318.33024927536235,361.15824927536244,309.62524927536225,-3.2849999999999966,STABLE,PV_VOLATILE,MID,25784.509999999995,358.0,346.0
12,2,321.6152492753623,318.33024927536235,361.15824927536244,309.62524927536225,-3.2849999999999966,STABLE,PV_VOLATILE,MID,25493.480000000003,357.43,346.0
