interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,net_bin,net_load_fc,rt_true,da_true
1,0,348.4844063400576,356.8594063400576,420.2984063400577,339.5704063400576,8.374999999999972,STABLE,PV_VOLATILE,MID,30996.82,383.0,383.078
2,0,348.4844063400576,356.8594063400576,420.2984063400577,339.5704063400576,8.374999999999972,STABLE,PV_VOLATILE,MID,30687.559999999998,381.0,383.078
3,0,348.4844063400576,356.8594063400576,420.2984063400577,339.5704063400576,8.374999999999972,STABLE,PV_VOLATILE,MID,30297.33,393.0,383.078
4,0,348.4844063400576,356.8594063400576,420.2984063400577,339.5704063400576,8.374999999999972,STABLE,PV_VOLATILE,MID,30064.620000000003,387.0,383.078
5,1,334.88369740634005,335.30369740634006,370.27569740634004,280.91369740634,0.4200000000000159,STABLE,PV_VOLATILE,HIGH,29832.940000000002,384.0,374.645
6,1,334.88369740634005,338.02869740634003,367.6516974063401,316.9786974063401,3.1450000000000102,STABLE,PV_VOLATILE,MID,29388.820000000007,390.0,374.645
7,1,334.88369740634005,338.02869740634003,367.6516974063401,316.9786974063401,3.1450000000000102,STABLE,PV_VOLATILE,MID,29267.589999999997,390.0,374.645
8,1,334.88369740634005,338.02869740634003,367.6516974063401,316.9786974063401,3.1450000000000102,STABLE,PV_VOLATILE,MID,28904.269999999997,385.0,374.645
9,2,321.76689337175793,323.0868933717579,350.245893371758,287.84089337175794,1.3199999999999932,STABLE,PV_VOLATILE,HIGH,28649.170000000006,375.0,358.585
10,2,321.76689337175793,323.0868933717579,350.245893371758,287.84089337175794,1.3199999999999932,STABLE,PV_VOLATILE,HIGH,28561.519999999997,370.55,358.585
11,2,321.76689337175793,323.0868933717579,350.245893371758,287.84089337175794,1.3199999999999932,STABLE,PV_VOLATILE,HIGH,28309.450000000004,366.2,358.585
12,2,321.76689337175793,318.4818933717579,361.309893371758,309.77689337175786,-3.2849999999999966,STABLE,PV_VOLATILE,MID,28098.729999999996,363.0,358.585
13,3,310.75415850144094,311.18915850144094,323.76615850144094,246.86415850144093,0.4350000000000023,STABLE,PV_VOLATILE,HIGH,28010.450000000004,360.0,355.21
14,3,310.75415850144094,311.18915850144094,323.76615850144094,246.86415850144093,0.4350000000000023,STABLE,PV_VOLATILE,HIGH,27962.68,357.67,355.21
15,3,310.75415850144094,311.18915850144094,323.76615850144094,246.86415850144093,0.4350000000000023,STABLE,PV_VOLATILE,HIGH,27873.479999999996,356.0,355.21
16,3,310.75415850144094,311.18915850144094,323.76615850144094,246.86415850144093,0.4350000000000023,STABLE,PV_VOLATILE,HIGH,27946.33,358.08,355.21
17,4,311.6548242074928,321.13982420749284,341.41582420749285,295.37982420749285,9.485000000000014,STABLE,PV_VOLATILE,MID,28183.640000000007,362.0,356.275
18,4,311.6548242074928,321.13982420749284,341.41582420749285,295.37982420749285,9.485000000000014,STABLE,PV_VOLATILE,MID,28404.42,363.33,356.275
19,4,311.6548242074928,312.4848242074928,320.3048242074928,254.19282420749286,0.8299999999999841,STABLE,PV_VOLATILE,HIGH,28703.9,363.33,356.275
20,4,311.6548242074928,312.4848242074928,320.3048242074928,254.19282420749286,0.8299999999999841,STABLE,PV_VOLATILE,HIGH,29119.21,359.83,356.275
21,5,323.57236023054753,325.80736023054754,339.79036023054755,282.38236023054753,2.2350000000000136,STABLE,PV_VOLATILE,HIGH,29822.270000000004,368.0,362.01
22,5,323.57236023054753,325.80736023054754,339.79036023054755,282.38236023054753,2.2350000000000136,STABLE,PV_VOLATILE,HIGH,30235.480000000003,367.501,362.01
23,5,323.57236023054753,325.80736023054754,339.79036023054755,282.38236023054753,2.2350000000000136,STABLE,PV_VOLATILE,HIGH,30712.840000000004,365.689,362.01
24,5,323.57236023054753,325.80736023054754,339.79036023054755,282.38236023054753,2.2350000000000136,STABLE,PV_VOLATILE,HIGH,31565.28,385.911,362.01
25,6,312.294181556196,315.169181556196,341.984181556196,291.651181556196,2.8749999999999716,STABLE,PV_VOLATILE,HIGH,32752.35,408.467,381.685
26,6,312.294181556196,315.169181556196,341.984181556196,291.651181556196,2.8749999999999716,STABLE,PV_VOLATILE,HIGH,33304.66,442.505,381.685
27,6,312.294181556196,315.169181556196,341.984181556196,291.651181556196,2.8749999999999716,STABLE,PV_VOLATILE,HIGH,33031.189999999995,455.311,381.685
28,6,312.294181556196,315.169181556196,341.984181556196,291.651181556196,2.8749999999999716,STABLE,PV_VOLATILE,HIGH,31936.800000000003,441.841,381.685
29,7,265.7832622478386,282.05826224783857,375.5942622478386,205.3282622478386,16.27499999999999,VOLATILE,PV_VOLATILE,HIGH,30868.100000000006,414.795,352.279
30,7,265.7832622478386,282.05826224783857,375.5942622478386,205.3282622478386,16.27499999999999,VOLATILE,PV_VOLATILE,HIGH,29162.629999999997,376.642,352.279
31,7,265.7832622478386,282.05826224783857,375.5942622478386,205.3282622478386,16.27499999999999,VOLATILE,PV_VOLATILE,HIGH,27372.78,368.251,352.279
