interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,net_bin,net_load_fc,rt_true,da_true
1,0,348.366350877193,353.961350877193,409.511350877193,304.501350877193,5.594999999999999,STABLE,PV_VOLATILE,LOW,21068.079999999994,331.67,341.5
2,0,348.366350877193,353.961350877193,409.511350877193,304.501350877193,5.594999999999999,STABLE,PV_VOLATILE,LOW,20538.189999999995,335.0,341.5
3,0,348.366350877193,353.961350877193,409.511350877193,304.501350877193,5.594999999999999,STABLE,PV_VOLATILE,LOW,20545.799999999996,333.0,341.5
4,0,348.366350877193,353.961350877193,409.511350877193,304.501350877193,5.594999999999999,STABLE,PV_VOLATILE,LOW,20481.75,335.0,341.5
5,1,334.5271959064327,300.3671959064327,354.1471959064327,102.32719590643273,-34.16,VOLATILE,PV_VOLATILE,LOW,20003.549999999996,340.0,341.5
6,1,334.5271959064327,300.3671959064327,354.1471959064327,102.32719590643273,-34.16,VOLATILE,PV_VOLATILE,LOW,19738.5,340.0,341.5
7,1,334.5271959064327,300.3671959064327,354.1471959064327,102.32719590643273,-34.16,VOLATILE,PV_VOLATILE,LOW,19370.260000000002,340.0,341.5
8,1,334.5271959064327,300.3671959064327,354.1471959064327,102.32719590643273,-34.16,VOLATILE,PV_VOLATILE,LOW,19228.760000000002,340.0,341.5
9,2,321.22541228070173,317.59541228070174,413.75541228070176,224.31541228070174,-3.629999999999992,VOLATILE,PV_VOLATILE,LOW,19221.35,338.33,341.5
10,2,321.22541228070173,317.59541228070174,413.75541228070176,224.31541228070174,-3.629999999999992,VOLATILE,PV_VOLATILE,LOW,19128.78,336.67,341.5
11,2,321.22541228070173,317.59541228070174,413.75541228070176,224.31541228070174,-3.629999999999992,VOLATILE,PV_VOLATILE,LOW,18846.699999999997,338.33,341.5
12,2,321.22541228070173,317.59541228070174,413.75541228070176,224.31541228070174,-3.629999999999992,VOLATILE,PV_VOLATILE,LOW,18667.800000000003,338.33,341.5
13,3,310.0534356725146,318.5984356725146,429.40843567251454,275.9884356725146,8.545000000000016,STABLE,PV_VOLATILE,LOW,18810.22,336.67,341.5
14,3,310.0534356725146,318.5984356725146,429.40843567251454,275.9884356725146,8.545000000000016,STABLE,PV_VOLATILE,LOW,18814.100000000006,340.0,341.5
15,3,310.0534356725146,318.5984356725146,429.40843567251454,275.9884356725146,8.545000000000016,STABLE,PV_VOLATILE,LOW,18789.239999999998,340.0,341.5
16,3,310.0534356725146,318.5984356725146,429.40843567251454,275.9884356725146,8.545000000000016,STABLE,PV_VOLATILE,LOW,19050.199999999997,336.67,341.5
17,4,310.970918128655,324.890918128655,436.340918128655,226.98091812865502,13.919999999999987,VOLATILE,PV_VOLATILE,LOW,19204.4,336.67,341.5
18,4,310.970918128655,324.890918128655,436.340918128655,226.98091812865502,13.919999999999987,VOLATILE,PV_VOLATILE,LOW,19413.89,338.33,341.5
19,4,310.970918128655,324.890918128655,436.340918128655,226.98091812865502,13.919999999999987,VOLATILE,PV_VOLATILE,LOW,20058.309999999998,336.0,341.5
20,4,310.970918128655,324.890918128655,436.340918128655,226.98091812865502,13.919999999999987,VOLATILE,PV_VOLATILE,LOW,20557.25,333.0,341.5
