interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,net_bin,net_load_fc,rt_true,da_true
1,0,349.58447191011237,352.2844719101124,375.7684719101124,303.9394719101124,2.700000000000017,STABLE,PV_VOLATILE,LOW,27276.659999999996,397.772,393.62
2,0,349.58447191011237,352.2844719101124,375.7684719101124,303.9394719101124,2.700000000000017,STABLE,PV_VOLATILE,LOW,26774.490000000005,402.312,393.62
3,0,349.58447191011237,352.2844719101124,375.7684719101124,303.9394719101124,2.700000000000017,STABLE,PV_VOLATILE,LOW,26419.89,401.789,393.62
4,0,349.58447191011237,352.2844719101124,375.7684719101124,303.9394719101124,2.700000000000017,STABLE,PV_VOLATILE,LOW,25944.960000000006,399.615,393.62
5,1,336.29830056179776,305.7433005617978,339.7183005617978,104.09830056179777,-30.55499999999998,VOLATILE,PV_VOLATILE,LOW,25474.199999999997,396.669,397.5
6,1,336.29830056179776,305.7433005617978,339.7183005617978,104.09830056179777,-30.55499999999998,VOLATILE,PV_VOLATILE,LOW,25080.0,392.755,397.5
7,1,336.29830056179776,305.7433005617978,339.7183005617978,104.09830056179777,-30.55499999999998,VOLATILE,PV_VOLATILE,LOW,24789.75,397.179,397.5
8,1,336.29830056179776,305.7433005617978,339.7183005617978,104.09830056179777,-30.55499999999998,VOLATILE,PV_VOLATILE,LOW,24285.480000000003,398.215,397.5
9,2,323.32012921348314,302.7101292134831,325.13012921348314,209.84212921348313,-20.609999999999985,STABLE,PV_VOLATILE,LOW,23898.509999999995,397.969,395.81
10,2,323.32012921348314,302.7101292134831,325.13012921348314,209.84212921348313,-20.609999999999985,STABLE,PV_VOLATILE,LOW,23572.82,398.477,395.81
11,2,323.32012921348314,302.7101292134831,325.13012921348314,209.84212921348313,-20.609999999999985,STABLE,PV_VOLATILE,LOW,23298.449999999997,397.479,395.81
12,2,323.32012921348314,302.7101292134831,325.13012921348314,209.84212921348313,-20.609999999999985,STABLE,PV_VOLATILE,LOW,23011.840000000004,397.112,395.81
13,3,312.3279887640449,302.9029887640449,321.6739887640449,270.1979887640449,-9.425000000000011,STABLE,PV_VOLATILE,LOW,22808.260000000002,397.149,387.31
14,3,312.3279887640449,302.9029887640449,321.6739887640449,270.1979887640449,-9.425000000000011,STABLE,PV_VOLATILE,LOW,22630.14,397.486,387.31
15,3,312.3279887640449,302.9029887640449,321.6739887640449,270.1979887640449,-9.425000000000011,STABLE,PV_VOLATILE,LOW,22412.199999999997,397.296,387.31
16,3,312.3279887640449,302.9029887640449,321.6739887640449,270.1979887640449,-9.425000000000011,STABLE,PV_VOLATILE,LOW,22466.72,395.794,387.31
17,4,313.2294101123596,305.9394101123596,363.42041011235966,203.6154101123596,-7.289999999999992,STABLE,PV_VOLATILE,LOW,22572.43,393.737,383.74
18,4,313.2294101123596,305.9394101123596,363.42041011235966,203.6154101123596,-7.289999999999992,STABLE,PV_VOLATILE,LOW,22654.119999999995,395.095,383.74
19,4,313.2294101123596,305.9394101123596,363.42041011235966,203.6154101123596,-7.289999999999992,STABLE,PV_VOLATILE,LOW,22897.260000000002,395.683,383.74
20,4,313.2294101123596,305.9394101123596,363.42041011235966,203.6154101123596,-7.289999999999992,STABLE,PV_VOLATILE,LOW,23381.809999999998,395.573,383.74
21,5,324.89825,325.20825,360.00825000000003,310.08825,0.3100000000000023,STABLE,PV_VOLATILE,MID,24667.5,397.059,391.01
22,5,324.89825,325.20825,360.00825000000003,310.08825,0.3100000000000023,STABLE,PV_VOLATILE,MID,24861.229999999996,396.091,391.01
23,5,324.89825,325.20825,360.00825000000003,310.08825,0.3100000000000023,STABLE,PV_VOLATILE,MID,25395.39,396.725,391.01
24,5,324.89825,325.20825,360.00825000000003,310.08825,0.3100000000000023,STABLE,PV_VOLATILE,MID,26010.170000000006,399.28,391.01
25,6,315.42955898876403,318.30455898876403,345.119558988764,294.786558988764,2.8749999999999716,STABLE,PV_VOLATILE,HIGH,27535.200000000004,406.48,400.19
26,6,315.42955898876403,318.30455898876403,345.119558988764,294.786558988764,2.8749999999999716,STABLE,PV_VOLATILE,HIGH,29105.250000000007,406.578,400.19
27,6,315.42955898876403,318.30455898876403,345.119558988764,294.786558988764,2.8749999999999716,STABLE,PV_VOLATILE,HIGH,29467.0,410.793,400.19
28,6,315.42955898876403,318.30455898876403,345.119558988764,294.786558988764,2.8749999999999716,STABLE,PV_VOLATILE,HIGH,28888.929999999993,408.097,400.19
29,7,270.2108651685393,294.0508651685393,380.02186516853936,209.75586516853934,23.840000000000003,VOLATILE,PV_VOLATILE,HIGH,28087.709999999992,397.546,389.6
30,7,270.2108651685393,294.0508651685393,380.02186516853936,209.75586516853934,23.840000000000003,VOLATILE,PV_VOLATILE,HIGH,26650.450000000004,394.677,389.6
31,7,270.2108651685393,294.0508651685393,380.02186516853936,209.75586516853934,23.840000000000003,VOLATILE,PV_VOLATILE,HIGH,25282.100000000006,388.477,389.6
32,7,270.2108651685393,294.0508651685393,380.02186516853936,209.75586516853934,23.840000000000003,VOLATILE,PV_VOLATILE,HIGH,23687.769999999997,385.464,389.6
33,8,184.13423595505617,270.95923595505616,419.9652359550562,1.16023595505618,86.825,VOLATILE,PV_VOLATILE,HIGH,21956.97,381.551,339.07
34,8,184.13423595505617,270.95923595505616,419.9652359550562,1.16023595505618,86.825,VOLATILE,PV_VOLATILE,HIGH,20172.12999999999,371.908,339.07
35,8,184.13423595505617,270.95923595505616,419.9652359550562,1.16023595505618,86.825,VOLATILE,PV_VOLATILE,HIGH,17924.960000000006,345.513,339.07
36,8,184.13423595505617,270.95923595505616,419.9652359550562,1.16023595505618,86.825,VOLATILE,PV_VOLATILE,HIGH,15507.100000000006,327.536,339.07
37,9,113.6787106741573,108.83371067415732,358.1357106741574,84.1647106741573,-4.844999999999992,VOLATILE,PV_VOLATILE,HIGH,13205.380000000005,285.054,208.23
38,9,113.6787106741573,108.83371067415732,358.1357106741574,84.1647106741573,-4.844999999999992,VOLATILE,PV_VOLATILE,HIGH,11478.100000000006,265.736,208.23
39,9,113.6787106741573,108.83371067415732,358.1357106741574,84.1647106741573,-4.844999999999992,VOLATILE,PV_VOLATILE,HIGH,10006.410000000003,280.9,208.23
40,9,113.6787106741573,108.83371067415732,358.1357106741574,84.1647106741573,-4.844999999999992,VOLATILE,PV_VOLATILE,HIGH,8806.11,302.984,208.23
41,10,106.17480898876406,104.62980898876407,355.5318089887644,78.89080898876406,-1.5449999999999946,VOLATILE,PV_VOLATILE,HIGH,8828.21,301.674,204.53
42,10,106.17480898876406,104.62980898876407,355.5318089887644,78.89080898876406,-1.5449999999999946,VOLATILE,PV_VOLATILE,HIGH,7950.3399999999965,297.347,204.53
43,10,106.17480898876406,104.62980898876407,355.5318089887644,78.89080898876406,-1.5449999999999946,VOLATILE,PV_VOLATILE,HIGH,7181.369999999995,251.971,204.53
44,10,106.17480898876406,104.62980898876407,355.5318089887644,78.89080898876406,-1.5449999999999946,VOLATILE,PV_VOLATILE,HIGH,6985.040000000001,255.666,204.53
45,11,103.27900280898875,136.95900280898874,324.86700280898873,32.419002808988765,33.67999999999999,VOLATILE,PV_VOLATILE,HIGH,7567.789999999994,255.608,202.06
46,11,103.27900280898875,136.95900280898874,324.86700280898873,32.419002808988765,33.67999999999999,VOLATILE,PV_VOLATILE,HIGH,6180.790000000001,260.067,202.06
47,11,103.27900280898875,136.95900280898874,324.86700280898873,32.419002808988765,33.67999999999999,VOLATILE,PV_VOLATILE,HIGH,5385.029999999999,295.158,202.06
48,11,103.27900280898875,136.95900280898874,324.86700280898873,32.419002808988765,33.67999999999999,VOLATILE,PV_VOLATILE,HIGH,4300.029999999999,302.4,202.06
49,12,84.53597752808989,121.89597752808989,355.53497752808994,21.706977528089894,37.36,VOLATILE,PV_VOLATILE,HIGH,4028.709999999992,315.0,198.02
50,12,84.53597752808989,121.89597752808989,355.53497752808994,21.706977528089894,37.36,VOLATILE,PV_VOLATILE,HIGH,4137.490000000005,307.78,198.02
51,12,84.53597752808989,121.89597752808989,355.53497752808994,21.706977528089894,37.36,VOLATILE,PV_VOLATILE,HIGH,5369.580000000002,322.613,198.02
52,12,84.53597752808989,121.89597752808989,355.53497752808994,21.706977528089894,37.36,VOLATILE,PV_VOLATILE,HIGH,6577.0,328.593,198.02
53,13,105.87735955056179,149.02735955056178,352.19935955056184,89.70435955056179,43.15,VOLATILE,PV_VOLATILE,HIGH,8895.620000000003,343.7,254.97
54,13,105.87735955056179,149.02735955056178,352.19935955056184,89.70435955056179,43.15,VOLATILE,PV_VOLATILE,HIGH,10399.549999999996,339.37,254.97
55,13,105.87735955056179,149.02735955056178,352.19935955056184,89.70435955056179,43.15,VOLATILE,PV_VOLATILE,HIGH,11763.939999999995,349.848,254.97
56,13,105.87735955056179,149.02735955056178,352.19935955056184,89.70435955056179,43.15,VOLATILE,PV_VOLATILE,HIGH,13306.489999999998,358.096,254.97
57,14,151.0888904494382,228.2388904494382,334.04089044943817,52.305890449438195,77.15,VOLATILE,PV_VOLATILE,HIGH,14917.779999999999,373.314,330.43
58,14,151.0888904494382,228.2388904494382,334.04089044943817,52.305890449438195,77.15,VOLATILE,PV_VOLATILE,HIGH,16488.030000000006,378.033,330.43
59,14,151.0888904494382,228.2388904494382,334.04089044943817,52.305890449438195,77.15,VOLATILE,PV_VOLATILE,HIGH,18165.259999999995,377.0,330.43
60,14,151.0888904494382,228.2388904494382,334.04089044943817,52.305890449438195,77.15,VOLATILE,PV_VOLATILE,HIGH,19537.82,380.0,330.43
61,15,235.15153932584272,287.55153932584267,344.3575393258427,181.33353932584274,52.39999999999998,VOLATILE,PV_VOLATILE,HIGH,20479.76000000001,375.554,377.92
62,15,235.15153932584272,287.55153932584267,344.3575393258427,181.33353932584274,52.39999999999998,VOLATILE,PV_VOLATILE,HIGH,22124.520000000004,382.19,377.92
63,15,235.15153932584272,287.55153932584267,344.3575393258427,181.33353932584274,52.39999999999998,VOLATILE,PV_VOLATILE,HIGH,23373.869999999995,386.5,377.92
64,15,235.15153932584272,287.55153932584267,344.3575393258427,181.33353932584274,52.39999999999998,VOLATILE,PV_VOLATILE,HIGH,24555.450000000004,397.114,377.92
65,16,360.7652162921348,348.57021629213483,381.49021629213485,275.0042162921348,-12.194999999999993,STABLE,PV_VOLATILE,MID,25979.61,397.328,406.31
66,16,360.7652162921348,380.7202162921348,394.70921629213484,351.7392162921348,19.954999999999984,STABLE,PV_VOLATILE,HIGH,27300.410000000003,399.656,406.31
67,16,360.7652162921348,380.7202162921348,394.70921629213484,351.7392162921348,19.954999999999984,STABLE,PV_VOLATILE,HIGH,28841.89,418.843,406.31
68,16,360.7652162921348,380.7202162921348,394.70921629213484,351.7392162921348,19.954999999999984,STABLE,PV_VOLATILE,HIGH,29566.490000000005,416.379,406.31
69,17,443.97807303370786,434.66807303370786,452.69007303370785,400.8060730337079,-9.310000000000002,STABLE,PV_VOLATILE,MID,29863.36,413.849,426.79
70,17,443.97807303370786,434.66807303370786,452.69007303370785,400.8060730337079,-9.310000000000002,STABLE,PV_VOLATILE,MID,30758.440000000002,407.88,426.79
71,17,443.97807303370786,434.66807303370786,452.69007303370785,400.8060730337079,-9.310000000000002,STABLE,PV_VOLATILE,MID,31644.430000000008,407.262,426.79
72,17,443.97807303370786,434.66807303370786,452.69007303370785,400.8060730337079,-9.310000000000002,STABLE,PV_VOLATILE,MID,31515.600000000006,417.853,426.79
73,18,455.7449382022472,454.7949382022472,582.3009382022474,389.2049382022472,-0.950000000000017,VOLATILE,PV_VOLATILE,LOW,30756.33,410.439,426.92
74,18,455.7449382022472,454.7949382022472,582.3009382022474,389.2049382022472,-0.950000000000017,VOLATILE,PV_VOLATILE,LOW,30350.520000000004,407.541,426.92
75,18,455.7449382022472,454.7949382022472,582.3009382022474,389.2049382022472,-0.950000000000017,VOLATILE,PV_VOLATILE,LOW,29661.710000000006,405.365,426.92
76,18,455.7449382022472,454.7949382022472,582.3009382022474,389.2049382022472,-0.950000000000017,VOLATILE,PV_VOLATILE,LOW,29398.289999999994,403.903,426.92
77,19,444.6285561797753,443.21855617977525,596.1375561797754,380.20455617977524,-1.410000000000025,STABLE,PV_VOLATILE,LOW,29079.990000000005,404.054,421.63
78,19,444.6285561797753,443.21855617977525,596.1375561797754,380.20455617977524,-1.410000000000025,STABLE,PV_VOLATILE,LOW,28752.060000000005,404.161,421.63
79,19,444.6285561797753,443.21855617977525,596.1375561797754,380.20455617977524,-1.410000000000025,STABLE,PV_VOLATILE,LOW,28624.119999999995,403.022,421.63
80,19,444.6285561797753,443.21855617977525,596.1375561797754,380.20455617977524,-1.410000000000025,STABLE,PV_VOLATILE,LOW,28189.939999999995,395.646,421.63
81,20,437.0545617977528,437.83956179775276,593.1835617977529,363.2875617977528,0.7849999999999682,VOLATILE,PV_VOLATILE,LOW,28332.259999999995,393.182,409.7
82,20,437.0545617977528,437.83956179775276,593.1835617977529,363.2875617977528,0.7849999999999682,VOLATILE,PV_VOLATILE,LOW,28769.899999999994,398.757,409.7
83,20,437.0545617977528,437.83956179775276,593.1835617977529,363.2875617977528,0.7849999999999682,VOLATILE,PV_VOLATILE,LOW,28878.309999999998,404.211,409.7
84,20,437.0545617977528,437.83956179775276,593.1835617977529,363.2875617977528,0.7849999999999682,VOLATILE,PV_VOLATILE,LOW,29325.58,412.051,409.7
85,21,423.24625000000003,434.15125,638.5232500000002,351.92725,10.904999999999973,VOLATILE,PV_VOLATILE,LOW,30703.920000000006,413.191,426.55
86,21,423.24625000000003,434.15125,638.5232500000002,351.92725,10.904999999999973,VOLATILE,PV_VOLATILE,LOW,30729.000000000007,406.759,426.55
87,21,423.24625000000003,434.15125,638.5232500000002,351.92725,10.904999999999973,VOLATILE,PV_VOLATILE,LOW,29983.54,401.007,426.55
88,21,423.24625000000003,434.15125,638.5232500000002,351.92725,10.904999999999973,VOLATILE,PV_VOLATILE,LOW,29384.019999999997,397.527,426.55
89,22,395.2004606741573,411.27046067415733,521.9364606741574,316.6524606741573,16.07000000000002,STABLE,PV_VOLATILE,LOW,28979.4,405.972,419.51
90,22,395.2004606741573,411.27046067415733,521.9364606741574,316.6524606741573,16.07000000000002,STABLE,PV_VOLATILE,LOW,28544.829999999994,405.719,419.51
91,22,395.2004606741573,411.27046067415733,521.9364606741574,316.6524606741573,16.07000000000002,STABLE,PV_VOLATILE,LOW,28214.4,413.146,419.51
92,22,395.2004606741573,411.27046067415733,521.9364606741574,316.6524606741573,16.07000000000002,STABLE,PV_VOLATILE,LOW,28105.620000000003,415.523,419.51
93,23,378.66517415730334,403.52017415730336,505.1371741573033,337.1781741573033,24.855000000000018,STABLE,PV_VOLATILE,LOW,28633.58,416.664,398.58
94,23,378.66517415730334,403.52017415730336,505.1371741573033,337.1781741573033,24.855000000000018,STABLE,PV_VOLATILE,LOW,27627.129999999997,407.546,398.58
95,23,378.66517415730334,403.52017415730336,505.1371741573033,337.1781741573033,24.855000000000018,STABLE,PV_VOLATILE,LOW,26913.9,404.088,398.58
96,23,378.66517415730334,403.52017415730336,505.1371741573033,337.1781741573033,24.855000000000018,STABLE,PV_VOLATILE,LOW,26334.93,402.43,398.58
