interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,net_bin,net_load_fc,rt_true,da_true
1,0,349.2184759206799,353.80347592067994,402.0704759206799,211.89147592068002,4.585000000000008,VOLATILE,PV_STABLE,MID,19562.53,385.892,369.63
2,0,349.2184759206799,353.80347592067994,402.0704759206799,211.89147592068002,4.585000000000008,VOLATILE,PV_STABLE,MID,19319.800000000003,383.369,369.63
3,0,349.2184759206799,353.80347592067994,402.0704759206799,211.89147592068002,4.585000000000008,VOLATILE,PV_STABLE,MID,18964.17,376.962,369.63
4,0,349.2184759206799,353.80347592067994,402.0704759206799,211.89147592068002,4.585000000000008,VOLATILE,PV_STABLE,MID,18599.46,381.094,369.63
5,1,335.8579745042493,333.5379745042493,371.61097450424927,275.8579745042493,-2.319999999999993,STABLE,PV_STABLE,MID,18266.020000000004,380.231,360.51
6,1,335.8579745042493,333.5379745042493,371.61097450424927,275.8579745042493,-2.319999999999993,STABLE,PV_STABLE,MID,17935.370000000003,379.815,360.51
7,1,335.8579745042493,333.5379745042493,371.61097450424927,275.8579745042493,-2.319999999999993,STABLE,PV_STABLE,MID,17606.660000000003,377.748,360.51
8,1,335.8579745042493,333.5379745042493,371.61097450424927,275.8579745042493,-2.319999999999993,STABLE,PV_STABLE,MID,17342.940000000002,376.379,360.51
9,2,322.794776203966,327.494776203966,365.0377762039661,224.558776203966,4.700000000000017,STABLE,PV_STABLE,MID,17066.260000000002,375.127,358.27
10,2,322.794776203966,327.494776203966,365.0377762039661,224.558776203966,4.700000000000017,STABLE,PV_STABLE,MID,16961.559999999998,373.012,358.27
11,2,322.794776203966,327.494776203966,365.0377762039661,224.558776203966,4.700000000000017,STABLE,PV_STABLE,MID,16755.64,373.237,358.27
12,2,322.794776203966,327.494776203966,365.0377762039661,224.558776203966,4.700000000000017,STABLE,PV_STABLE,MID,16457.980000000003,375.212,358.27
13,3,311.7705779036827,327.8755779036827,364.5955779036827,257.10057790368273,16.10499999999999,STABLE,PV_STABLE,MID,16397.97,371.022,349.01
14,3,311.7705779036827,327.8755779036827,364.5955779036827,257.10057790368273,16.10499999999999,STABLE,PV_STABLE,MID,16226.060000000005,367.16,349.01
15,3,311.7705779036827,327.8755779036827,364.5955779036827,257.10057790368273,16.10499999999999,STABLE,PV_STABLE,MID,16046.370000000003,364.966,349.01
16,3,311.7705779036827,327.8755779036827,364.5955779036827,257.10057790368273,16.10499999999999,STABLE,PV_STABLE,MID,16056.0,365.039,349.01
17,4,312.7045042492918,330.81950424929175,366.1285042492918,285.8045042492918,18.11499999999998,STABLE,PV_STABLE,MID,16194.050000000003,366.458,342.29
18,4,312.7045042492918,330.81950424929175,366.1285042492918,285.8045042492918,18.11499999999998,STABLE,PV_STABLE,MID,16336.979999999996,364.315,342.29
19,4,312.7045042492918,330.81950424929175,366.1285042492918,285.8045042492918,18.11499999999998,STABLE,PV_STABLE,MID,16640.11,362.872,342.29
20,4,312.7045042492918,330.81950424929175,366.1285042492918,285.8045042492918,18.11499999999998,STABLE,PV_STABLE,MID,17044.089999999997,362.063,342.29
