interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,net_bin,net_load_fc,rt_true,da_true
1,0,348.5838132183908,356.9588132183908,420.39781321839087,339.6698132183908,8.374999999999972,STABLE,PV_VOLATILE,MID,30386.190000000002,424.268,455.19
2,0,348.5838132183908,356.9588132183908,420.39781321839087,339.6698132183908,8.374999999999972,STABLE,PV_VOLATILE,MID,29896.549999999996,426.766,455.19
3,0,348.5838132183908,356.9588132183908,420.39781321839087,339.6698132183908,8.374999999999972,STABLE,PV_VOLATILE,MID,29692.29,419.765,455.19
4,0,348.5838132183908,356.9588132183908,420.39781321839087,339.6698132183908,8.374999999999972,STABLE,PV_VOLATILE,MID,29489.010000000002,429.047,455.19
5,1,334.9979540229885,338.14295402298853,367.7659540229885,317.0929540229885,3.1450000000000102,STABLE,PV_VOLATILE,MID,29277.159999999996,431.293,465.225
6,1,334.9979540229885,338.14295402298853,367.7659540229885,317.0929540229885,3.1450000000000102,STABLE,PV_VOLATILE,MID,29128.82,432.431,465.225
7,1,334.9979540229885,338.14295402298853,367.7659540229885,317.0929540229885,3.1450000000000102,STABLE,PV_VOLATILE,MID,28834.989999999998,431.591,465.225
8,1,334.9979540229885,338.14295402298853,367.7659540229885,317.0929540229885,3.1450000000000102,STABLE,PV_VOLATILE,MID,28683.22,432.971,465.225
9,2,321.8726925287356,323.1926925287356,350.35169252873567,287.94669252873564,1.3199999999999932,STABLE,PV_VOLATILE,HIGH,28453.21,439.445,465.261
10,2,321.8726925287356,318.5876925287356,361.4156925287357,309.88269252873556,-3.2849999999999966,STABLE,PV_VOLATILE,MID,28223.739999999998,439.514,465.261
11,2,321.8726925287356,318.5876925287356,361.4156925287357,309.88269252873556,-3.2849999999999966,STABLE,PV_VOLATILE,MID,28017.600000000006,445.935,465.261
12,2,321.8726925287356,318.5876925287356,361.4156925287357,309.88269252873556,-3.2849999999999966,STABLE,PV_VOLATILE,MID,28050.480000000003,443.578,465.261
13,3,310.88190517241384,311.31690517241384,323.89390517241384,246.99190517241382,0.4350000000000023,STABLE,PV_VOLATILE,HIGH,27720.480000000003,449.714,465.257
14,3,310.88190517241384,311.31690517241384,323.89390517241384,246.99190517241382,0.4350000000000023,STABLE,PV_VOLATILE,HIGH,27631.61,453.031,465.257
15,3,310.88190517241384,311.31690517241384,323.89390517241384,246.99190517241382,0.4350000000000023,STABLE,PV_VOLATILE,HIGH,27767.200000000004,452.74,465.257
16,3,310.88190517241384,311.31690517241384,323.89390517241384,246.99190517241382,0.4350000000000023,STABLE,PV_VOLATILE,HIGH,27936.479999999996,452.434,465.257
17,4,311.7830431034483,321.2680431034483,341.5440431034483,295.5080431034483,9.485000000000014,STABLE,PV_VOLATILE,MID,28267.810000000005,453.403,465.234
18,4,311.7830431034483,321.2680431034483,341.5440431034483,295.5080431034483,9.485000000000014,STABLE,PV_VOLATILE,MID,28599.379999999997,454.356,465.234
19,4,311.7830431034483,312.61304310344826,320.43304310344826,254.32104310344832,0.8299999999999841,STABLE,PV_VOLATILE,HIGH,29046.689999999995,465.416,465.234
20,4,311.7830431034483,312.61304310344826,320.43304310344826,254.32104310344832,0.8299999999999841,STABLE,PV_VOLATILE,HIGH,29549.630000000005,468.198,465.234
21,5,323.68281321839083,325.91781321839085,339.90081321839085,282.49281321839084,2.2350000000000136,STABLE,PV_VOLATILE,HIGH,30506.64,466.538,454.767
22,5,323.68281321839083,325.91781321839085,339.90081321839085,282.49281321839084,2.2350000000000136,STABLE,PV_VOLATILE,HIGH,30721.519999999997,461.737,454.767
23,5,323.68281321839083,325.91781321839085,339.90081321839085,282.49281321839084,2.2350000000000136,STABLE,PV_VOLATILE,HIGH,31260.690000000002,473.019,454.767
24,5,323.68281321839083,325.91781321839085,339.90081321839085,282.49281321839084,2.2350000000000136,STABLE,PV_VOLATILE,HIGH,32027.519999999997,467.422,454.767
25,6,312.4935804597701,315.3685804597701,342.1835804597701,291.8505804597701,2.8749999999999716,STABLE,PV_VOLATILE,HIGH,33399.64,467.921,639.749
26,6,312.4935804597701,315.3685804597701,342.1835804597701,291.8505804597701,2.8749999999999716,STABLE,PV_VOLATILE,HIGH,34888.60999999999,464.575,639.749
27,6,312.4935804597701,315.3685804597701,342.1835804597701,291.8505804597701,2.8749999999999716,STABLE,PV_VOLATILE,HIGH,35373.479999999996,461.212,639.749
28,6,312.4935804597701,315.3685804597701,342.1835804597701,291.8505804597701,2.8749999999999716,STABLE,PV_VOLATILE,HIGH,35566.490000000005,458.74,639.749
29,7,266.03181321839077,282.30681321839074,375.8428132183908,205.57681321839078,16.27499999999999,VOLATILE,PV_VOLATILE,HIGH,35288.100000000006,461.3,789.842
30,7,266.03181321839077,282.30681321839074,375.8428132183908,205.57681321839078,16.27499999999999,VOLATILE,PV_VOLATILE,HIGH,35285.670000000006,458.495,789.842
31,7,266.03181321839077,282.30681321839074,375.8428132183908,205.57681321839078,16.27499999999999,VOLATILE,PV_VOLATILE,HIGH,35694.46,465.438,789.842
32,7,266.03181321839077,282.30681321839074,375.8428132183908,205.57681321839078,16.27499999999999,VOLATILE,PV_VOLATILE,HIGH,36093.6,463.965,789.842
33,8,179.64338218390805,259.363382183908,356.2493821839081,-3.3306178160919444,79.72,VOLATILE,PV_VOLATILE,HIGH,36057.67,491.884,803.934
34,8,179.64338218390805,259.363382183908,356.2493821839081,-3.3306178160919444,79.72,VOLATILE,PV_VOLATILE,HIGH,35479.469999999994,499.176,803.934
35,8,179.64338218390805,259.363382183908,356.2493821839081,-3.3306178160919444,79.72,VOLATILE,PV_VOLATILE,HIGH,34726.200000000004,496.668,803.934
36,8,179.64338218390805,259.363382183908,356.2493821839081,-3.3306178160919444,79.72,VOLATILE,PV_VOLATILE,HIGH,33388.670000000006,505.521,803.934
37,9,110.22503735632185,100.23503735632185,277.76103735632194,72.94303735632185,-9.989999999999998,STABLE,PV_VOLATILE,HIGH,32229.109999999993,515.773,800.865
38,9,110.22503735632185,100.23503735632185,277.76103735632194,72.94303735632185,-9.989999999999998,STABLE,PV_VOLATILE,HIGH,31555.230000000003,545.571,800.865
39,9,110.22503735632185,100.23503735632185,277.76103735632194,72.94303735632185,-9.989999999999998,STABLE,PV_VOLATILE,HIGH,31105.37000000001,552.153,800.865
40,9,110.22503735632185,100.23503735632185,277.76103735632194,72.94303735632185,-9.989999999999998,STABLE,PV_VOLATILE,HIGH,31623.02000000001,582.703,800.865
41,10,103.02272988505749,97.22272988505748,147.4887298850575,75.7387298850575,-5.800000000000004,STABLE,PV_VOLATILE,HIGH,32173.17,859.098,631.232
42,10,103.02272988505749,97.22272988505748,147.4887298850575,75.7387298850575,-5.800000000000004,STABLE,PV_VOLATILE,HIGH,32685.719999999994,730.602,631.232
43,10,103.02272988505749,97.22272988505748,147.4887298850575,75.7387298850575,-5.800000000000004,STABLE,PV_VOLATILE,HIGH,32989.630000000005,1283.604,631.232
44,10,103.02272988505749,97.22272988505748,147.4887298850575,75.7387298850575,-5.800000000000004,STABLE,PV_VOLATILE,HIGH,33329.85999999999,846.512,631.232
45,11,100.18128160919541,119.57128160919541,240.9162816091956,29.321281609195424,19.389999999999993,VOLATILE,PV_VOLATILE,HIGH,34229.77,1025.175,592.75
46,11,100.18128160919541,119.57128160919541,240.9162816091956,29.321281609195424,19.389999999999993,VOLATILE,PV_VOLATILE,HIGH,33303.2,888.541,592.75
47,11,100.18128160919541,119.57128160919541,240.9162816091956,29.321281609195424,19.389999999999993,VOLATILE,PV_VOLATILE,HIGH,32172.22,701.057,592.75
48,11,100.18128160919541,119.57128160919541,240.9162816091956,29.321281609195424,19.389999999999993,VOLATILE,PV_VOLATILE,HIGH,30833.850000000006,534.34,592.75
49,12,81.68092816091954,91.22092816091953,322.15692816091996,18.85192816091954,9.54,VOLATILE,PV_VOLATILE,HIGH,30734.23999999999,541.135,632.568
50,12,81.68092816091954,91.22092816091953,322.15692816091996,18.85192816091954,9.54,VOLATILE,PV_VOLATILE,HIGH,30592.9,518.07,632.568
51,12,81.68092816091954,91.22092816091953,322.15692816091996,18.85192816091954,9.54,VOLATILE,PV_VOLATILE,HIGH,31299.790000000008,523.963,632.568
52,12,81.68092816091954,91.22092816091953,322.15692816091996,18.85192816091954,9.54,VOLATILE,PV_VOLATILE,HIGH,32174.190000000002,523.871,632.568
53,13,102.11626436781609,134.6412643678161,313.8002643678161,85.94326436781608,32.525,VOLATILE,PV_VOLATILE,HIGH,33499.61,513.655,825.589
54,13,102.11626436781609,134.6412643678161,313.8002643678161,85.94326436781608,32.525,VOLATILE,PV_VOLATILE,HIGH,34283.41,539.586,825.589
55,13,102.11626436781609,134.6412643678161,313.8002643678161,85.94326436781608,32.525,VOLATILE,PV_VOLATILE,HIGH,34851.079999999994,535.449,825.589
56,13,102.11626436781609,134.6412643678161,313.8002643678161,85.94326436781608,32.525,VOLATILE,PV_VOLATILE,HIGH,35093.21000000001,537.014,825.589
57,14,146.4232988505747,212.2182988505747,326.0102988505748,47.640298850574695,65.79500000000002,VOLATILE,PV_VOLATILE,HIGH,35488.93999999999,530.135,827.008
58,14,146.4232988505747,212.2182988505747,326.0102988505748,47.640298850574695,65.79500000000002,VOLATILE,PV_VOLATILE,HIGH,36045.649999999994,509.94,827.008
59,14,146.4232988505747,212.2182988505747,326.0102988505748,47.640298850574695,65.79500000000002,VOLATILE,PV_VOLATILE,HIGH,36264.92,514.195,827.008
60,14,146.4232988505747,212.2182988505747,326.0102988505748,47.640298850574695,65.79500000000002,VOLATILE,PV_VOLATILE,HIGH,35984.619999999995,513.835,827.008
61,15,229.5312011494253,265.8062011494253,353.22220114942536,175.71320114942532,36.275000000000006,VOLATILE,PV_VOLATILE,HIGH,36081.37999999999,501.571,806.563
62,15,229.5312011494253,265.8062011494253,353.22220114942536,175.71320114942532,36.275000000000006,VOLATILE,PV_VOLATILE,HIGH,36305.71000000001,493.084,806.563
63,15,229.5312011494253,265.8062011494253,353.22220114942536,175.71320114942532,36.275000000000006,VOLATILE,PV_VOLATILE,HIGH,36428.899999999994,480.585,806.563
64,15,229.5312011494253,265.8062011494253,353.22220114942536,175.71320114942532,36.275000000000006,VOLATILE,PV_VOLATILE,HIGH,36140.259999999995,489.821,806.563
