interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,net_bin,net_load_fc,rt_true,da_true
1,0,348.2240895522388,355.3540895522388,403.97128955223883,263.4760895522388,7.1299999999999955,VOLATILE,PV_STABLE,HIGH,28465.14,344.0,356.655
2,0,348.2240895522388,355.3540895522388,403.97128955223883,263.4760895522388,7.1299999999999955,VOLATILE,PV_STABLE,HIGH,28138.22,337.5,356.655
3,0,348.2240895522388,355.3540895522388,403.97128955223883,263.4760895522388,7.1299999999999955,VOLATILE,PV_STABLE,HIGH,27733.53,332.5,356.655
4,0,348.2240895522388,355.3540895522388,403.97128955223883,263.4760895522388,7.1299999999999955,VOLATILE,PV_STABLE,HIGH,27382.32,327.5,356.655
5,1,334.2186119402985,342.7886119402985,385.2286119402985,297.9946119402985,8.569999999999993,STABLE,PV_STABLE,HIGH,26794.239999999998,334.0,346.305
6,1,334.2186119402985,342.7886119402985,385.2286119402985,297.9946119402985,8.569999999999993,STABLE,PV_STABLE,HIGH,26461.300000000003,342.0,346.305
7,1,334.2186119402985,342.7886119402985,385.2286119402985,297.9946119402985,8.569999999999993,STABLE,PV_STABLE,HIGH,26142.5,338.75,346.305
8,1,334.2186119402985,342.7886119402985,385.2286119402985,297.9946119402985,8.569999999999993,STABLE,PV_STABLE,HIGH,25905.42,321.83,346.305
9,2,320.83442388059706,329.28442388059705,369.79362388059707,292.45242388059705,8.449999999999989,STABLE,PV_STABLE,HIGH,25745.939999999995,307.0,325.615
10,2,320.83442388059706,329.28442388059705,369.79362388059707,292.45242388059705,8.449999999999989,STABLE,PV_STABLE,HIGH,25409.100000000006,284.6,325.615
11,2,320.83442388059706,329.28442388059705,369.79362388059707,292.45242388059705,8.449999999999989,STABLE,PV_STABLE,HIGH,25168.75,296.0,325.615
12,2,320.83442388059706,329.28442388059705,369.79362388059707,292.45242388059705,8.449999999999989,STABLE,PV_STABLE,HIGH,25178.64,302.34,325.615
13,3,309.4949223880597,317.5749223880597,347.0249223880597,292.3269223880597,8.079999999999984,STABLE,PV_STABLE,HIGH,24975.510000000002,314.0,318.0
14,3,309.4949223880597,317.5749223880597,347.0249223880597,292.3269223880597,8.079999999999984,STABLE,PV_STABLE,HIGH,24871.030000000006,319.48,318.0
15,3,309.4949223880597,317.5749223880597,347.0249223880597,292.3269223880597,8.079999999999984,STABLE,PV_STABLE,HIGH,24918.579999999994,334.0,318.0
16,3,309.4949223880597,317.5749223880597,347.0249223880597,292.3269223880597,8.079999999999984,STABLE,PV_STABLE,HIGH,25020.530000000006,342.0,318.0
17,4,310.39683880597016,321.95683880597016,342.21603880597013,283.6028388059701,11.560000000000002,STABLE,PV_STABLE,HIGH,25604.479999999996,331.08,318.0
18,4,310.39683880597016,321.95683880597016,342.21603880597013,283.6028388059701,11.560000000000002,STABLE,PV_STABLE,HIGH,25788.46,319.0,318.0
19,4,310.39683880597016,321.95683880597016,342.21603880597013,283.6028388059701,11.560000000000002,STABLE,PV_STABLE,HIGH,26281.97,291.64,318.0
20,4,310.39683880597016,321.95683880597016,342.21603880597013,283.6028388059701,11.560000000000002,STABLE,PV_STABLE,HIGH,26716.93,286.21,318.0
21,5,322.5194268656716,321.5094268656716,359.0694268656716,221.17722686567163,-1.009999999999991,VOLATILE,PV_STABLE,HIGH,27413.230000000003,294.0,334.591
22,5,322.5194268656716,321.5094268656716,359.0694268656716,221.17722686567163,-1.009999999999991,VOLATILE,PV_STABLE,HIGH,27530.510000000002,312.09,334.591
23,5,322.5194268656716,321.5094268656716,359.0694268656716,221.17722686567163,-1.009999999999991,VOLATILE,PV_STABLE,HIGH,28111.300000000003,322.82,334.591
24,5,322.5194268656716,321.5094268656716,359.0694268656716,221.17722686567163,-1.009999999999991,VOLATILE,PV_STABLE,HIGH,28982.410000000003,324.0,334.591
25,6,309.4756537313433,306.5956537313433,367.17165373134327,172.4296537313433,-2.8799999999999955,STABLE,PV_STABLE,HIGH,29748.72,332.0,346.053
26,6,309.4756537313433,306.5956537313433,367.17165373134327,172.4296537313433,-2.8799999999999955,STABLE,PV_STABLE,HIGH,30379.480000000003,313.05,346.053
27,6,309.4756537313433,306.5956537313433,367.17165373134327,172.4296537313433,-2.8799999999999955,STABLE,PV_STABLE,HIGH,30897.71,304.0,346.053
28,6,309.4756537313433,306.5956537313433,367.17165373134327,172.4296537313433,-2.8799999999999955,STABLE,PV_STABLE,HIGH,30807.509999999995,326.98,346.053
29,7,258.5977104477612,274.5177104477612,413.2397104477612,39.72171044776121,15.920000000000016,VOLATILE,PV_STABLE,HIGH,30861.21,344.0,340.016
30,7,258.5977104477612,274.5177104477612,413.2397104477612,39.72171044776121,15.920000000000016,VOLATILE,PV_STABLE,HIGH,30384.65,352.0,340.016
31,7,258.5977104477612,274.5177104477612,413.2397104477612,39.72171044776121,15.920000000000016,VOLATILE,PV_STABLE,HIGH,29901.25,358.02,340.016
32,7,258.5977104477612,274.5177104477612,413.2397104477612,39.72171044776121,15.920000000000016,VOLATILE,PV_STABLE,HIGH,29559.120000000003,367.77,340.016
33,8,169.53088059701494,169.53088059701494,354.73688059701493,55.980880597014945,0.0,VOLATILE,PV_STABLE,HIGH,29264.82,382.0,345.425
34,8,169.53088059701494,169.53088059701494,354.73688059701493,55.980880597014945,0.0,VOLATILE,PV_STABLE,HIGH,28805.739999999998,373.57,345.425
35,8,169.53088059701494,169.53088059701494,354.73688059701493,55.980880597014945,0.0,VOLATILE,PV_STABLE,HIGH,27765.560000000005,375.0,345.425
